,timestamp,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,machine_status
1,01-04-2018 00:00,13.41146,16.13136,15.56713,15.05353,37.2274,NORMAL
2,01-04-2018 00:15,13.35359,16.21094,15.45139,15.12587,43.12774,NORMAL
3,01-04-2018 00:30,13.23061,16.12413,15.76968,15.08247,45.93287,NORMAL
4,01-04-2018 00:45,13.38252,16.21094,15.65393,15.11863,40.53074,NORMAL
5,01-04-2018 01:00,13.49826,16.16753,15.65393,15.11863,41.47252,NORMAL
6,01-04-2018 01:15,13.64294,16.21094,15.81308,15.11863,41.51844,NORMAL
7,01-04-2018 01:30,13.614,16.13136,15.84925,15.08247,37.44254,NORMAL
8,01-04-2018 01:45,13.5923,16.21094,15.76968,15.09693,42.6238,NORMAL
9,01-04-2018 02:00,13.68634,16.16753,15.52373,15.08247,42.18901,NORMAL
10,01-04-2018 02:15,13.67911,16.16753,15.58883,15.08247,42.8988,NORMAL
11,01-04-2018 02:30,13.59954,16.12413,15.84925,15.0897,40.45971,NORMAL
12,01-04-2018 02:45,13.56337,16.21094,15.56713,15.05353,38.0256,NORMAL
13,01-04-2018 03:00,13.59954,16.21094,15.69734,15.05353,41.67967,NORMAL
14,01-04-2018 03:15,13.62847,16.16753,15.61777,15.08247,40.35469,NORMAL
16,01-04-2018 03:30,13.65017,16.16753,15.53096,15.05353,39.52111,NORMAL
17,01-04-2018 03:45,13.56337,16.12413,15.81308,15.01013,38.13408,NORMAL
18,01-04-2018 04:00,13.67911,16.13136,15.56713,15.11863,39.95102,NORMAL
19,01-04-2018 04:15,13.5923,16.13136,15.56713,15.0897,40.46565,NORMAL
20,01-04-2018 04:30,13.5272,16.12413,15.73351,15.11863,38.29825,NORMAL
21,01-04-2018 04:45,13.5923,16.16753,15.49479,15.05353,37.77408,NORMAL
22,01-04-2018 05:00,13.5923,16.24711,15.65393,15.0897,38.87561,NORMAL
23,01-04-2018 05:15,13.614,16.13136,15.65393,15.11863,36.01675,NORMAL
24,01-04-2018 05:30,13.5923,16.16753,15.81308,15.08247,37.21352,NORMAL
25,01-04-2018 05:45,13.614,16.16753,15.70457,15.08247,36.98111,NORMAL
