sr,activity_id,sr_problem_description,component_area,final_service_action_code,service_request_number,action_code,activity_type,activity_type_std,asset_install_date,cause,component_subsystem,component_sub_area,corrective_repair_flag,installed_country,modality,modality_grouping,current_modality,problem.1,problem_code,problem_duplicated,problem_found,psi_code,resolution_code_action_taken,service_request_status,service_request_type,service_request_type_std,date,time1,sr_close_date,sr_error_description,sr_error_flag,date,time2,sr_open_date,system_id
1,a1K8b00000QUYVnEAP,Continua el artefacto y ademas se colgo una vez,,,7445808,,Field Service,Field Service,JUL-13-2015,Desconocido.,Magnet,,Y,Argentina,MRI,,,Continua el artefacto y ademas se colgo una vez,,,Artefacto aislado en imagen. El equipo se colgó una vez.,CSEC06,"Se chequearon, ajustaron y limpiaron componentes en gantry y consola. Se testeó conectividad de componentes.;Test de calidad de imagen.;Se encuentra Signal Type 1 Brush Tip defectuoso. Se solicita parte para reemplazo.",Closed,Corrective Repair,Corrective Repair,01-04-2018,16:58,01-04-2018 16:58,,VALID,01-04-2018,00:25,01-04-2018 00:25,CT405903HM6
2,a1K8b00000QTwyUEAT,No enciende,,,7326524,,Field Service,Field Service,OCT-24-2017,Tubo defectuoso,Tube,,Y,Argentina,CT,,,No enciende,,,No emite RX,CSPL35,Provisión r instalación de un tubo de RX nuevo,Closed,Corrective Repair,Corrective Repair,01-04-2018,08:20,01-04-2018 08:20,,VALID,01-04-2018,00:27,01-04-2018 00:27,CT4861AR
3,a1K8b00000QUy70EAD,Cotizacion de Mylar,,,7464419,,Field Service,Field Service,MAY-24-2011,Ventana mylar deteriorada,Magnet,,Y,Colombia,MRI,,,Cotizacion de Mylar,,,Reemplazo de ventana mylar,CSPE29,Reemplazo de ventana mylar por nueva parte.,Closed,Corrective Repair,Corrective Repair,01-04-2018,11:33,01-04-2018 11:33,,VALID,01-04-2018,01:05,01-04-2018 01:05,2931350ELITE
4,a1K8b00000QUTwUEAX,Premium // Solicita auxilio para configurar a work list para o padrão brasileiro.,,,7409840,,Remote Service,Remote Service,OCT-11-2018,Configuração,Tube,,Y,Brazil,CT,,,Premium // Solicita auxilio para configurar a work list para o padrão brasileiro.,,,Adequação de worklist,CSPJ03,"Conferência realizada com o  cliente Magno @ 84 8864-3258 que solicitou adequações no worklist do equipamento, para aumentar o número de caracteres. Cliente foi informado que de acordo com o dicom statement o browser do worklist vai mostrar apenas os 32 caracteres, apesar da tag patient name ter sido alterada para 64 caracteres.",Closed,Corrective Repair,Corrective Repair,01-04-2018,18:32,01-04-2018 18:32,,VALID,01-04-2018,01:44,01-04-2018 01:44,CTCBARG1800026
5,a1K8b00000QVCXvEAP,Premium//Maquina esta apresentando falha no sub gerenciamento do arquivamento de imagens. Desligando sozinha por conta disso.,,,7503618,,Field Service,Field Service,JUL-02-2010,Falha de comunicação entre o Host e a DARC (HDIG),Magnet,,Y,Brazil,MRI,,,Premium//Maquina esta apresentando falha no sub gerenciamento do arquivamento de imagens. Desligando sozinha por conta disso.,,,"Ao tentar inicializar o Application Software, o equipamento esta apresentando falha no sub gerenciamento do arquivamento de imagens, o DARC. Em seguida, ele está desligando o sistema automaticamente.",CSPH03,"•	Ajustado as configurações da BIOS do Host HP xw8400.;•	Ajustado as configurações da BIOS da DIG.;•	Revalidado as configurações da BIOS do VeRB.;•	Checado a comunicação entre o Host HP e a HDIG (ping darc / ping darcrmm / ping darcbmc) e todos responderam com sucesso.;•	Checado a comunicação entre o Host HP e o VeRB (ping verb / ping verbrmm / ping verbbmc) e todos responderam com sucesso.;•	Efetuado checagem de todos as conexões de cabos interligando Host HP, HDIG, VeRB e ambos HSDA.;•	Efetuado acesso via browser no HDIG e VeRB para validação das configurações, seguindo a documentação SN11060212a. Foi observado que as configurações já estavam corretas, conforme o documento.;•	Efetuado resetImage DB.;•	Executado procedimento de Recreate SDDA. Porém, durante a tentativa de reboot do DARC, o sistema apresentou mensagem de “""darc: No route to host”.;•	Executado procedimento de LFC e, durante instalação do software para a DIG, o equipamento conseguiu instalar o software, mas não conseguiu fazer o reboot automático da DIG, solicitando que o mesmo fosse reinicializado manualmente.;•	A instalação do software para a VeRB funcionou com sucesso. O software foi instalado e o hardware recebeu o comando para reboot automático.;•	Durante a tentativa de ajuste do Date & Time, o sistema apontou falha de comunicação com a DARC, não permitindo a sincronização dos dados com a mesma.;•	Seguindo o procedimento de troubleshooting da HDIG, conforme o manual de serviços (5343532-2EN – Ver.27), em “DIG Computer System ID and Status LEDs”, foi observado que o LED A encontra-se ligado com a cor laranja (Solid On), o que indica ser um “Critical, non-recoverable” com descrição de falha de: “Fatal Alarm – system has failed or shutdown” com possibilidades em: “● DIMM Failure, no good memory present / ● IERR signal asserted / ● Processor 1 missing / ● Temperature (CPU ThernTrip, memory TempHi, critical threshold crossed)  / ● Power fault / ● Processor configuration error (for instance, processor stepping mismatch).;•	Foi efetuada a desmontagem da HDIG para verificação e limpeza de todo o hardware offboard.;•	Executado novo procedimento de LFC, porém o problema se repetiu.;;Como próxima ação, será necessário a substituição da HDIG (em processo de importação) e, após isso, fazer um novo LFC.",Closed,Corrective Repair,Corrective Repair,01-04-2018,15:11,01-04-2018 15:11,,VALID,01-04-2018,01:47,01-04-2018 01:47,2842841
6,a1K8b00000QUJmvEAH,HBS// O teclado de comando nao esta funcionando,,,7351977,,Field Service,Field Service,JUL-15-2013,Patient database inconsistency.,Detector,,Y,Brazil,CT,,,HBS// O teclado de comando nao esta funcionando,,,Falha na reconstrução,CSPE47,"Realizado recarga completa do software, feito restore da base de dados,  após as ações tomadas a falha não foi verificada o equipamento liberado para uso. ;Teste ok, feito exames.",Closed,Corrective Repair,Corrective Repair,01-04-2018,13:46,01-04-2018 13:46,,VALID,01-04-2018,02:14,01-04-2018 02:14,CTSXCT00026
7,a1K8b00000QUYAjEAP,"LATAM BR Premium // está abortando na calibração, não libera para exames.",,,7445879,,Field Service,Field Service,JUL-01-2015,"Tubo de Raio-X com o FOCO GROSSO ABERTO.
Nesse cita a troca do Tubo de Raio-X.",Magnet,,Y,Brazil,MRI,,,"LATAM BR Premium // está abortando na calibração, não libera para exames.",,,"Equipamento está  abortando na calibração, não libera para exames.;Troca do Tubo de Raio-x.",CSPG88,Realizado teste de No Load KV e o equipamento passou nos testes.;Realizado teste de KV foco Grosso e deu erro.;Realizado teste de KV foco fino e passou no teste.;Realizado a verificação do oleo nos receptáculos do Tubo e nos tanques ok .;Medido o filamento do foco GROSSO ABERTO.;Medido filamento do foco FINO OK.;Realizado teste de No Load KV com o Tubo e o teste reprovou. Retirado os cabos do Tubo de Raio-X e refeito o Teste de No Load KV e passou confirmando a falha no Tubo de Raio-X.;Realizado a Troca do Tubo de Raio-X. Reset nos dados do gerador. Realizado Alinhamento Mecânico de posição do Tubo de Raio-X. Realizado Calibração do Filamento.  Checagem do Balanceamento do Gantry. Calibração do HOT ISO. Calibração do Colimador e Calibração Detalhada. Realizado calibração diária. Salvo System State.,Closed,Corrective Repair,Corrective Repair,01-04-2018,17:02,01-04-2018 17:02,,VALID,01-04-2018,05:07,01-04-2018 05:07,CT440269CN9
8,a1K8b00000QUpWtEAL,Despues de corte de luz el equipo no arranca.,,,7464723,,Remote Service,Remote Service,MAR-27-2020,Fallo de energia externo. No establecida la causa en el equipo se requiere visita,Magnet,,Y,Mexico HQ,MRI,,,Despues de corte de luz el equipo no arranca.,,,Reportan que el equipo no prende despues de problema externo de energia,CSPL53,"1. Se hace  y el cliente explica que no prende nada del equipo
2. Se le solicita informacion de la PDU y tablero principal pero no hay respuesta.
3. Se pasa a campo",Closed,Corrective Repair,Corrective Repair,01-04-2018,11:40,01-04-2018 11:40,,VALID,01-04-2018,05:08,01-04-2018 05:08,CJRBX2000007CN
9,a1K8b00000QUgMPEA1,System no reboot for more than 8 days,,,7455147,,Remote Service,Remote Service,JUN-20-2013,PDS,Magnet,,Y,Colombia,MRI,,,System no reboot for more than 8 days,,,PDS 8 dias,CSEC06,Cliente reinicia. Se les recuerda reiniciar diariamente.,Closed,Corrective Repair,Corrective Repair,01-04-2018,10:22,01-04-2018 10:22,,VALID,01-04-2018,07:00,01-04-2018 07:00,CT331956HM3
10,a1K8b00000QVShREAX,Aplicacion bloqueada/ colgada,,,7523336,,Field Service,Field Service,OCT-13-2016,Deterioro de tubo de RX.,Detector,,Y,Colombia,CT,,,Aplicacion bloqueada/ colgada,,,Equipo no permite realizar estudios con errores en generación de RX.,CSEC09,"Error de generación 60-0316 spit max error. Se realiza pruebas de diagnóstico KV NO LOAD, el cuál pasa con tubo de RX desconectado. Inspección a cables de alta sin novedad.;;De acuerdo a los procedimientos de diagnósticos realizados, se requiere reemplazo de tubo de RX.",Fixed,Corrective Repair,Corrective Repair,01-04-2018,18:40,01-04-2018 18:40,,VALID,01-04-2018,07:02,01-04-2018 07:02,CT5744CO
