,timestamp,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,machine_status
1,01-04-2018 00:00,47.09201,53.2118,46.31076,634.375,76.45975,NORMAL
2,01-04-2018 00:15,48.3941,53.125,46.39757,642.3611,78.13193,NORMAL
3,01-04-2018 00:30,47.91666,53.12499619,46.22395706,618.75,75.64877,NORMAL
4,01-04-2018 00:45,49.08854,53.03819,46.09375,638.7732,73.93829,NORMAL
5,01-04-2018 01:00,49.08854,53.12499619,46.00694275,626.6204,73.981,NORMAL
6,01-04-2018 01:15,47.69965,53.125,45.96354,640.2778,71.52058,NORMAL
7,01-04-2018 01:30,47.26563,53.125,45.96353912,624.3055,77.7133,NORMAL
8,01-04-2018 01:45,48.4375,53.03819,45.96354,639.3518,72.8404,NORMAL
9,01-04-2018 02:00,48.78472,52.99479,45.83333206,629.9768,73.51723,NORMAL
10,01-04-2018 02:15,48.87152,52.99479,45.78992844,641.2037,78.01218,NORMAL
11,01-04-2018 02:30,49.43576,52.99479,45.61631775,635.9954,71.54809,NORMAL
12,01-04-2018 02:45,48.26389,53.03819,45.3993,650.463,78.54942,NORMAL
13,01-04-2018 03:00,49.13194,52.95139,45.3125,634.375,70.08943,NORMAL
14,01-04-2018 03:15,48.87152,52.90799,45.22569275,626.2731,72.07859,NORMAL
16,01-04-2018 03:30,48.56771,52.90799,45.22569275,631.1343,75.11013,NORMAL
17,01-04-2018 03:45,48.65451,52.95139,45.18228912,637.3843,71.77249,NORMAL
18,01-04-2018 04:00,48.78472,52.90798569,45.18228912,646.0648,71.63472,NORMAL
19,01-04-2018 04:15,48.91493,52.90799,45.09548569,641.7824,69.63532,NORMAL
20,01-04-2018 04:30,48.56771,52.82118,45.09548569,626.6204,71.74254,NORMAL
21,01-04-2018 04:45,48.17708,52.90798569,45.13889,636.1111,69.84055,NORMAL
22,01-04-2018 05:00,48.35069,52.82118,45.3125,645.0231,72.06581,NORMAL
23,01-04-2018 05:15,46.65799,52.77777,45.39930344,630.0926,73.19348,NORMAL
24,01-04-2018 05:30,47.56944,52.73437,45.3993,630.3241,72.47937,NORMAL
25,01-04-2018 05:45,46.26736,52.77777,45.35589981,629.7454,76.24946,NORMAL
26,01-04-2018 06:00,46.74479,52.73437,45.22569,639.4676,72.83251,NORMAL
27,01-04-2018 06:15,47.61285,52.73437,45.13889,624.7685,73.4533,NORMAL
28,01-04-2018 06:30,46.74479,52.69097,44.921875,630.0925,75.17675,NORMAL
29,01-04-2018 06:45,47.39583,52.51736,44.96527481,633.3334,75.58148,NORMAL
31,01-04-2018 07:00,47.61285,52.51736,45.00867844,631.0186,74.57088,NORMAL
32,01-04-2018 07:15,47.26563,52.51736,45.09548569,638.8889,71.46176,NORMAL
33,01-04-2018 07:30,47.09201,52.51736069,45.1388855,639.5834,73.30408,NORMAL
34,01-04-2018 07:45,46.70139,52.47396,44.96527,623.4954,71.73313,NORMAL
35,01-04-2018 08:00,47.17882,52.51736,44.57465,632.6389,76.61579,NORMAL
36,01-04-2018 08:15,46.18055,52.47396,44.44444275,640.3936,74.34136,NORMAL
37,01-04-2018 08:30,46.18055,52.51736,44.3576355,632.5232,74.66055,NORMAL
38,01-04-2018 08:45,47.56944,52.38715,44.44444275,635.8796,71.57329,NORMAL
39,01-04-2018 09:00,46.18055,52.30035,44.53125,631.4814,73.71378,NORMAL
40,01-04-2018 09:15,47.74305,52.25694,44.70486,632.7546,74.07797,NORMAL
41,01-04-2018 09:30,46.18055,52.30035,44.96527,638.3102,71.5822,NORMAL
42,01-04-2018 09:45,46.22396,52.25694,45.13889,628.7037,75.65549,NORMAL
43,01-04-2018 10:00,46.18055,52.34375,45.3559,629.1666,73.97291,NORMAL
44,01-04-2018 10:15,46.52777,52.34374619,45.44270706,628.4722,74.17664,NORMAL
46,01-04-2018 10:30,46.18055,52.90799,45.5295105,650.3472,70.77303,NORMAL
47,01-04-2018 10:45,46.44097,52.51736,45.39930344,642.7083,73.59832,NORMAL
48,01-04-2018 11:00,46.9618,52.51736,45.44270706,632.0602,69.34444,NORMAL
49,01-04-2018 11:15,46.52777,52.56076,45.44270706,636.2268,75.36642,NORMAL
50,01-04-2018 11:30,47.61285,52.56076,45.44270706,634.7222,73.76809,NORMAL
51,01-04-2018 11:45,46.70139,52.56076,45.44270706,636.6898,74.87484,NORMAL
52,01-04-2018 12:00,46.65799,52.60416412,45.5295105,635.1852,76.57462,NORMAL
53,01-04-2018 12:15,46.74479,52.60416,45.74652,640.625,79.15337,NORMAL
54,01-04-2018 12:30,47.04861,52.73437119,45.87674,638.7731,75.73604,NORMAL
55,01-04-2018 12:45,47.30902,52.73437,46.00694275,656.8287,77.60751,NORMAL
56,01-04-2018 13:00,47.74305,52.77777,45.83333,633.7963,71.80135,NORMAL
57,01-04-2018 13:15,47.52604,52.82118,45.83333206,633.912,74.44889,NORMAL
58,01-04-2018 13:30,47.56944,52.95139,45.87673569,630.9028,75.67751,NORMAL
59,01-04-2018 13:45,48.00347,52.95139,46.05035,627.7778,76.93832,NORMAL
61,01-04-2018 14:00,48.61111,52.90799,46.39757,626.5046,73.77344,NORMAL
62,01-04-2018 14:15,48.65451,52.82118,46.61458,639.3519,73.603,NORMAL
63,01-04-2018 14:30,49.08854,52.73437,46.65798569,638.4259,76.66058,NORMAL
64,01-04-2018 14:45,49.04514,52.60416,46.74478912,647.6852,70.39677,NORMAL
65,01-04-2018 15:00,48.91493,52.60416,46.83159637,627.4305,74.97446,NORMAL
66,01-04-2018 15:15,48.91493,52.56076,46.61458,643.8657,74.29839,NORMAL
67,01-04-2018 15:30,49.30555,52.51736069,46.22396,632.4074,74.0005,NORMAL
68,01-04-2018 15:45,48.17708,52.47395706,45.87674,640.2778,71.95438,NORMAL
69,01-04-2018 16:00,48.56771,52.34375,45.57291412,631.25,69.16141,NORMAL
70,01-04-2018 16:15,47.61285,52.30035,45.44271,645.1389,71.25183,NORMAL
71,01-04-2018 16:30,47.17882,52.30035,45.39930344,627.662,68.07735,NORMAL
72,01-04-2018 16:45,46.9618,52.30035,45.44270706,631.9445,72.57127,NORMAL
73,01-04-2018 17:00,47.09201,52.30035,45.44270706,633.5648,71.11138,NORMAL
74,01-04-2018 17:15,47.78646,52.25694,45.3993,618.287,73.88304,NORMAL
76,01-04-2018 17:30,48.22049,52.25694,45.22569,631.713,74.03515,NORMAL
77,01-04-2018 17:45,47.30902,52.17014,45.09548569,628.7037,75.81062,NORMAL
78,01-04-2018 18:00,46.52777,52.08333,45.00867844,630.0926,76.84397,NORMAL
79,01-04-2018 18:15,46.65799,52.12674,45.09548569,633.7963,75.3368,NORMAL
80,01-04-2018 18:30,46.39757,51.95312,45.1388855,641.3194,75.67277,NORMAL
81,01-04-2018 18:45,46.18055,51.95312,45.09549,628.9352,73.58148,NORMAL
82,01-04-2018 19:00,46.74479,51.95312119,44.87847,631.713,74.55327,NORMAL
83,01-04-2018 19:15,46.48438,51.95312,44.66146,632.8704,80.06167,NORMAL
84,01-04-2018 19:30,46.00694,52.03993,44.57465,640.8564,74.25974,NORMAL
85,01-04-2018 19:45,46.52777,52.03993,44.66145706,626.7361,76.02352,NORMAL
86,01-04-2018 20:00,47.13541,52.12674,44.66145706,633.6805,76.99966,NORMAL
87,01-04-2018 20:15,47.09201,52.12674,44.57465,628.2407,74.31039,NORMAL
88,01-04-2018 20:30,46.18055,52.12674,44.44444275,641.3195,73.64766,NORMAL
89,01-04-2018 20:45,46.61458,52.25694,44.44444275,626.3889,80.87638,NORMAL
91,01-04-2018 21:00,46.00694,52.30035,44.3576355,630.3241,77.37483,NORMAL
92,01-04-2018 21:15,45.78993,52.25694275,44.48784637,640.8564,75.09947,NORMAL
93,01-04-2018 21:30,45.87674,52.30035,44.48784637,638.4346,80.01161,NORMAL
94,01-04-2018 21:45,46.44097,52.34375,44.31423569,629.1666,77.95181,NORMAL
95,01-04-2018 22:00,46.26736,52.34375,44.31423569,633.1018,78.20448,NORMAL
96,01-04-2018 22:15,46.61458,52.38714981,44.27083,639.5833,76.49287,NORMAL
97,01-04-2018 22:30,46.39757,52.47396,44.22742844,633.3333,75.85012,NORMAL
98,01-04-2018 22:45,45.96354,52.51736,44.140625,632.5231,75.98433,NORMAL
99,01-04-2018 23:00,46.09375,52.38715,44.27083,632.2916,72.54938,NORMAL
100,01-04-2018 23:15,46.18055,52.38715,44.44444275,627.0833,78.59606,NORMAL
101,01-04-2018 23:30,45.61632,52.38714981,44.57464981,638.0787,77.485,NORMAL
102,01-04-2018 23:45,45.61632,52.38715,44.70486069,640.8564,80.17258,NORMAL
103,02-04-2018 00:00,45.83333,52.34375,44.79166412,639.5833,78.57581,NORMAL
104,02-04-2018 00:15,45.87674,52.30035,44.92188,634.6064,80.69846,NORMAL
106,02-04-2018 00:30,45.61632,52.30035,44.96527481,631.9445,81.36457,NORMAL
107,02-04-2018 00:45,45.83333,52.38715,45.09548569,631.713,79.5153,NORMAL
108,02-04-2018 01:00,45.87674,52.34374619,45.09548569,641.5509,76.98888,NORMAL
109,02-04-2018 01:15,46.48438,52.38715,44.96527,631.1342,75.74821,NORMAL
110,02-04-2018 01:30,46.48438,52.34374619,44.79166412,637.2686,75.37739,NORMAL
111,02-04-2018 01:45,46.22396,52.34375,44.70486069,628.8195,69.80042,NORMAL
112,02-04-2018 02:00,45.87674,52.34375,44.44444,645.1389,72.42004,NORMAL
113,02-04-2018 02:15,45.87674,52.38715,44.27083,652.662,75.91507,NORMAL
114,02-04-2018 02:30,46.09375,52.30035,44.140625,638.5416,74.34747,NORMAL
115,02-04-2018 02:45,46.65799,52.30035,44.05381775,649.4213,76.77725,NORMAL
116,02-04-2018 03:00,45.78993,52.17014,44.05381775,633.9902,73.59135,NORMAL
117,02-04-2018 03:15,46.39757,52.25694,44.01041,646.5278,72.82298,NORMAL
118,02-04-2018 03:30,47.17882,52.17014,43.8368,639.6991,71.6706,NORMAL
119,02-04-2018 03:45,47.13541,52.12674,43.57639,637.7314,74.69318,NORMAL
121,02-04-2018 04:00,47.35243,52.08333,43.35938,644.9073,73.31551,NORMAL
122,02-04-2018 04:15,47.39583,52.03993,43.14236,634.375,73.04425,NORMAL
123,02-04-2018 04:30,47.74305,51.95312,42.96875,632.7546,71.55958,NORMAL
124,02-04-2018 04:45,47.96007,51.90972137,42.7951355,630.4398,72.0942,NORMAL
125,02-04-2018 05:00,47.82986,51.82291,42.62152,636.6898,70.38895,NORMAL
126,02-04-2018 05:15,47.78646,51.86632,42.53472137,646.875,74.62743,NORMAL
127,02-04-2018 05:30,48.13368,51.82291,42.4045105,647.2222,73.64985,NORMAL
128,02-04-2018 05:45,47.96007,51.82291,42.53472137,640.2778,75.17354,NORMAL
129,02-04-2018 06:00,48.4809,51.86631775,42.49131775,637.6157,71.62836,NORMAL
130,02-04-2018 06:15,48.3941,51.82291412,42.36111069,633.6805,71.78152,NORMAL
131,02-04-2018 06:30,48.35069,51.86631775,42.40451,638.4259,70.88284,NORMAL
132,02-04-2018 06:45,48.17708,51.82291,42.70833,640.3935,71.64134,NORMAL
133,02-04-2018 07:00,48.17708,51.73611,42.92534637,623.0324,73.03517,NORMAL
134,02-04-2018 07:15,48.04688,51.82291,43.01214981,638.6574,69.98251,NORMAL
136,02-04-2018 07:30,48.4375,51.82291,43.01214981,640.5093,70.65179,NORMAL
137,02-04-2018 07:45,48.4375,51.82291,42.96875,645.3704,72.70978,NORMAL
138,02-04-2018 08:00,48.26389,51.73611,42.92535,644.0972,69.69008,NORMAL
139,02-04-2018 08:15,48.3941,51.73611,42.96875,640.8564,75.61717,NORMAL
140,02-04-2018 08:30,48.17708,51.6059,43.1857605,639.699,82.92014,NORMAL
141,02-04-2018 08:45,48.26389,51.6059,43.40277481,636.8055,78.48048,NORMAL
142,02-04-2018 09:00,49.08854,51.51909637,43.57639,632.4073,77.25713,NORMAL
143,02-04-2018 09:15,48.78472,51.51909637,43.7066,640.5093,72.46386,NORMAL
144,02-04-2018 09:30,,51.6059,43.83680344,643.4028,77.02177,NORMAL
145,02-04-2018 09:45,,51.73611,44.01041,629.2824,81.38428,NORMAL
146,02-04-2018 10:00,49.26215,51.86632,44.27083,636.8055,79.29365,NORMAL
147,02-04-2018 10:15,49.65277,51.95312,44.48784637,637.2685,75.74685,NORMAL
148,02-04-2018 10:30,49.56597,52.03993,44.74826,632.2916,80.67493,NORMAL
149,02-04-2018 10:45,50,52.17014,45.00867844,635.1852,83.52715,NORMAL
151,02-04-2018 11:00,49.78299,52.17014,45.22569,640.625,83.25182,NORMAL
152,02-04-2018 11:15,49.52257,52.34375,45.44271,638.8889,79.63566,NORMAL
153,02-04-2018 11:30,49.30555,52.34374619,45.61632,634.375,80.57792,NORMAL
154,02-04-2018 11:45,49.43576,52.34375,45.78992844,639.0046,78.54016,NORMAL
155,02-04-2018 12:00,49.69618,52.34375,45.87674,633.912,79.20768,NORMAL
156,02-04-2018 12:15,49.86979,52.51736,45.96353912,643.4027,83.22675,NORMAL
157,02-04-2018 12:30,49.47916,52.47396,46.05034637,640.8159,84.73823,NORMAL
158,02-04-2018 12:45,49.65277,52.60416,46.09375,640.3935,75.37605,NORMAL
159,02-04-2018 13:00,49.91319,52.56076,46.18055344,642.7083,78.62775,NORMAL
160,02-04-2018 13:15,49.73958,52.56076,46.00694,645.4861,77.3224,NORMAL
161,02-04-2018 13:30,50.13021,52.69097,45.78992844,647.4537,78.51312,NORMAL
162,02-04-2018 13:45,50.43402,52.60416,45.61631775,646.412,80.42118,NORMAL
163,02-04-2018 14:00,50.43402,52.69097,45.3559,638.6573,78.58943,NORMAL
164,02-04-2018 14:15,49.04514,52.69097137,45.1388855,646.0648,72.46804,NORMAL
166,02-04-2018 14:30,49.26215,52.60416,45.18229,645.7175,72.87891,NORMAL
167,02-04-2018 14:45,49.86979,52.77777,45.22569275,635.9954,80.26785,NORMAL
168,02-04-2018 15:00,50.30382,52.77777,45.09549,645.3704,72.82297,NORMAL
169,02-04-2018 15:15,50.39062,52.82118,45.00867844,646.9907,78.60711,NORMAL
170,02-04-2018 15:30,50.43402,52.82118,45.00867844,642.0139,75.46925,NORMAL
171,02-04-2018 15:45,50.65104,52.90799,45.18228912,629.2824,73.56815,NORMAL
172,02-04-2018 16:00,50.95486,52.90799,45.18228912,629.9768,72.94644,NORMAL
173,02-04-2018 16:15,50.30382,52.95139,45.18229,619.9073,76.01791,NORMAL
174,02-04-2018 16:30,50.39062,52.99478912,45.3125,630.4398,78.60316,NORMAL
175,02-04-2018 16:45,50.34722,53.03819275,45.44271,628.125,78.51259,NORMAL
176,02-04-2018 17:00,50.60764,53.03819,45.65972137,636.8055,78.44251,NORMAL
177,02-04-2018 17:15,50.78125,53.125,45.83333206,626.1573,78.39031,NORMAL
178,02-04-2018 17:30,50.95486,53.03819,45.83333,625.8102,78.94018,NORMAL
179,02-04-2018 17:45,50.95486,52.95139,45.52951,620.0231,80.50032,NORMAL
